,APPLE INC (USAB1X1),BANK OF AMERICA CORPORATION (USAJIJ1),INTEL CORP (USAH8Z1),AT&T INC (USAMTI1)
2018-01-02,0.0001,0.0068,-0.0135,-0.0156
2018-01-03,-0.0168,-0.0105,-0.0508,-0.0116
2018-01-04,0.0002,0.0025,-0.0246,0.0088
2018-01-05,-0.0013,-0.0043,0.0016,0.0011
2018-01-08,-0.0119,-0.006,-0.0066,-0.003
2018-01-09,0.0011,-0.0081,-0.0141,0.0021
2018-01-10,0.0017,-0.003,-0.0138,-0.0191
2018-01-11,-0.0044,-0.0028,0.0126,-0.0062
2018-01-12,-0.0021,0.0088,-0.0123,0.0044
2018-01-16,-0.0064,0.0046,-0.0035,-0.0004
2018-01-17,-0.0047,-0.0094,0.0078,-0.0012
2018-01-18,-0.0026,0.0125,0.0017,0.0127
2018-01-19,-0.0082,-0.0025,0.013,-0.0016
2018-01-22,-0.0004,-0.0016,0.0169,0.0007
2018-01-23,0.0004,-0.0008,0.0058,-0.0032
2018-01-24,-0.0077,0.0018,0.0065,-0.0106
2018-01-25,-0.0122,0.0042,0.0084,0.0081
2018-01-26,-0.013,-0.0056,0.0673,-0.0053
2018-01-29,-0.0102,0.0107,-0.0018,-0.0045
2018-01-30,0.0063,-0.0015,-0.0022,0.0076
2018-01-31,0.0008,0,-0.0186,-0.003
2018-02-01,0.0044,0.0037,-0.0035,0.0261
2018-02-02,-0.0157,0.004,-0.0006,0.0008
2018-02-05,0.0207,-0.0016,0.02,0.0024
2018-02-06,0.0182,0.0065,-0.0237,-0.0081
2018-02-07,-0.0112,0.0032,0.0295,0.0068
2018-02-08,0.0218,0.0027,-0.0148,0.0029
2018-02-09,0.0001,-0.0066,-0.0043,0.0096
2018-02-12,0.0187,0.0118,0.0064,-0.0125
2018-02-13,0.0093,-0.002,-0.0073,-0.0014
2018-02-14,-0.0011,-0.0014,0.0101,-0.0003
2018-02-15,0.0177,-0.0007,0.0024,-0.0071
2018-02-16,0.0076,-0.008,-0.0034,-0.0022
2018-02-20,-0.0085,0.0029,0.0032,0.0056
2018-02-21,0.0031,-0.001,0.0036,0.0094
2018-02-22,0.0042,-0.0009,-0.0051,0.0102
2018-02-23,0.0026,-0.0062,0.0203,-0.0142
2018-02-26,-0.0058,-0.0009,0.0023,0.0056
2018-02-27,0.0082,0.0088,0.0174,-0.0033
2018-02-28,0.0066,0.0051,-0.0012,0.001
2018-03-01,-0.0033,0.0011,-0.0072,-0.0003
2018-03-02,0.0041,0.0033,0.0101,0.0114
2018-03-05,-0.003,0.0028,0.0056,-0.0037
2018-03-06,-0.0081,-0.0065,0.0081,0.001
2018-03-07,-0.0088,0.0048,0.0129,0.0026
